date,indicator,value
2026-07-07,foreign_net_oi,-80042.0
2026-06-08,pc_oi_ratio,126.75
2026-06-09,pc_oi_ratio,133.64
2026-06-10,pc_oi_ratio,166.01
2026-06-11,pc_oi_ratio,133.33
2026-06-12,pc_oi_ratio,168.35
2026-06-15,pc_oi_ratio,172.0
2026-06-16,pc_oi_ratio,164.48
2026-06-17,pc_oi_ratio,133.15
2026-06-18,pc_oi_ratio,114.67
2026-06-22,pc_oi_ratio,147.65
2026-06-23,pc_oi_ratio,98.99
2026-06-24,pc_oi_ratio,134.59
2026-06-25,pc_oi_ratio,114.57
2026-06-26,pc_oi_ratio,128.74
2026-06-29,pc_oi_ratio,123.92
2026-06-30,pc_oi_ratio,134.93
2026-07-01,pc_oi_ratio,142.03
2026-07-02,pc_oi_ratio,120.46
2026-07-03,pc_oi_ratio,136.3
2026-07-06,pc_oi_ratio,122.22
2026-07-07,pc_oi_ratio,98.68
2023-07-03,taiex_close,17084.2
2023-07-04,taiex_close,17140.77
2023-07-05,taiex_close,17056.43
2023-07-06,taiex_close,16762.17
2023-07-07,taiex_close,16664.21
2023-07-10,taiex_close,16652.8
2023-07-11,taiex_close,16898.91
2023-07-12,taiex_close,16962.03
2023-07-13,taiex_close,17061.4
2023-07-14,taiex_close,17283.71
2023-07-17,taiex_close,17334.29
2023-07-18,taiex_close,17227.91
2023-07-19,taiex_close,17116.44
2023-07-20,taiex_close,17164.89
2023-07-21,taiex_close,17030.7
2023-07-24,taiex_close,17033.61
2023-07-25,taiex_close,17198.89
2023-07-26,taiex_close,17162.55
2023-07-27,taiex_close,17241.82
2023-07-28,taiex_close,17292.93
2023-07-31,taiex_close,17145.43
2023-08-01,taiex_close,17212.87
2023-08-02,taiex_close,16893.73
2023-08-04,taiex_close,16843.68
2023-08-07,taiex_close,16996.0
2023-08-08,taiex_close,16877.07
2023-08-09,taiex_close,16870.94
2023-08-10,taiex_close,16634.7
2023-08-11,taiex_close,16601.25
2023-08-14,taiex_close,16393.66
2023-08-15,taiex_close,16454.8
2023-08-16,taiex_close,16446.78
2023-08-17,taiex_close,16516.66
2023-08-18,taiex_close,16381.31
2023-08-21,taiex_close,16381.49
2023-08-22,taiex_close,16437.61
2023-08-23,taiex_close,16576.9
2023-08-24,taiex_close,16770.87
2023-08-25,taiex_close,16481.58
2023-08-28,taiex_close,16509.26
2023-08-29,taiex_close,16623.65
2023-08-30,taiex_close,16719.82
2023-08-31,taiex_close,16634.51
2023-09-01,taiex_close,16644.94
2023-09-04,taiex_close,16789.69
2023-09-05,taiex_close,16791.61
2023-09-06,taiex_close,16738.16
2023-09-07,taiex_close,16619.14
2023-09-08,taiex_close,16576.02
2023-09-11,taiex_close,16432.95
2023-09-12,taiex_close,16572.71
2023-09-13,taiex_close,16581.51
2023-09-14,taiex_close,16807.56
2023-09-15,taiex_close,16920.92
2023-09-18,taiex_close,16698.24
2023-09-19,taiex_close,16636.32
2023-09-20,taiex_close,16534.75
2023-09-21,taiex_close,16316.67
2023-09-22,taiex_close,16344.48
2023-09-25,taiex_close,16452.23
2023-09-26,taiex_close,16276.07
2023-09-27,taiex_close,16310.36
2023-09-28,taiex_close,16353.74
2026-07-01,taiex_close,47018.99
2026-07-02,taiex_close,46744.16
2026-07-03,taiex_close,46780.62
2026-07-06,taiex_close,46556.39
2026-07-07,taiex_close,45479.11
